UserID,Age,PreferredGenre,WatchHours,LoginPerWeek,CompletionRate
1,47,Romance,19,1,55
2,58,Drama,111,3,88
3,30,Romance,62,7,83
4,37,Sci-Fi,19,1,49
5,58,Horror,64,2,42
6,21,Action,119,4,48
7,41,Horror,119,7,96
8,30,Comedy,109,7,98
9,20,Sci-Fi,88,2,69
10,55,Sci-Fi,84,5,98
11,25,Kids,115,1,93
12,48,Documentary,91,1,53
13,39,Kids,44,3,54
14,48,Documentary,84,3,46
15,42,Romance,92,6,97
16,50,Drama,33,2,85
17,47,Horror,33,6,72
18,52,Horror,6,4,60
19,52,Romance,18,1,83
20,38,Documentary,46,1,65
21,33,Action,78,2,90
22,40,Documentary,41,1,99
23,49,Comedy,54,4,88
24,28,Sci-Fi,50,1,59
25,18,Documentary,58,5,91
26,45,Drama,94,7,68
27,52,Romance,13,4,69
28,49,Documentary,114,7,98
29,50,Romance,66,7,68
30,56,Sci-Fi,93,3,57
31,42,Romance,58,3,65
32,54,Horror,13,6,64
33,28,Comedy,65,5,67
34,34,Kids,114,1,69
35,44,Horror,28,7,40
36,37,Kids,84,1,53
37,29,Drama,15,3,74
38,54,Kids,73,5,49
39,38,Documentary,90,2,82
40,26,Romance,20,7,85
41,56,Horror,51,4,95
42,53,Kids,87,4,96
43,27,Drama,89,1,76
44,21,Drama,80,7,70
45,42,Comedy,66,4,53
46,30,Comedy,83,7,99
47,26,Drama,103,5,68
48,49,Documentary,85,4,84
49,55,Horror,90,5,73
50,23,Documentary,46,6,88
51,23,Documentary,28,4,98
52,38,Sci-Fi,5,3,58
53,53,Action,98,1,56
54,35,Documentary,79,2,83
55,22,Action,20,3,53
56,31,Documentary,20,6,79
57,46,Documentary,30,6,65
58,18,Kids,115,2,54
59,52,Horror,74,1,41
60,55,Action,62,7,58
61,19,Sci-Fi,78,4,83
62,46,Kids,45,2,51
63,23,Kids,58,4,97
64,35,Documentary,58,4,85
65,51,Comedy,77,2,80
66,56,Romance,7,5,46
67,39,Comedy,35,1,63
68,42,Kids,100,2,87
69,55,Comedy,41,2,62
70,46,Kids,101,7,62
71,30,Romance,103,4,97
72,26,Horror,5,3,56
73,56,Sci-Fi,76,4,73
74,37,Drama,34,7,86
75,43,Kids,75,3,49
76,41,Romance,56,6,65
77,53,Drama,36,6,73
78,38,Horror,84,5,75
79,22,Documentary,48,3,98
80,30,Romance,29,4,65
81,55,Sci-Fi,28,3,89
82,24,Documentary,50,3,65
83,58,Comedy,66,2,58
84,24,Sci-Fi,62,2,81
85,55,Action,91,5,72
86,42,Romance,112,1,79
87,19,Kids,11,3,78
88,26,Kids,60,4,97
89,44,Romance,84,6,80
90,50,Romance,16,2,53
91,43,Drama,26,7,94
92,32,Romance,80,3,40
93,22,Sci-Fi,27,7,50
94,32,Sci-Fi,5,1,81
95,41,Comedy,106,5,76
96,37,Comedy,56,3,79
97,32,Documentary,51,1,78
98,60,Comedy,16,3,82
99,56,Sci-Fi,63,6,63
100,47,Kids,42,4,69
101,34,Action,33,2,96
102,23,Documentary,32,2,95
103,26,Drama,118,5,54
104,53,Kids,23,4,42
105,44,Action,70,7,53
106,28,Sci-Fi,46,1,74
107,42,Documentary,70,1,78
108,55,Drama,120,2,72
109,46,Romance,52,4,63
110,57,Action,59,1,68
111,58,Sci-Fi,100,2,97
112,43,Kids,23,7,43
113,57,Drama,21,2,91
114,37,Comedy,63,3,94
115,40,Romance,32,7,51
116,23,Horror,72,6,49
117,60,Romance,40,4,74
118,37,Sci-Fi,77,7,85
119,42,Action,94,3,68
120,49,Kids,18,1,87
121,53,Sci-Fi,28,6,79
122,41,Comedy,116,1,87
123,19,Sci-Fi,50,5,44
124,47,Kids,119,7,64
125,39,Action,44,4,70
126,35,Drama,44,5,97
127,28,Sci-Fi,47,6,90
128,26,Action,18,7,48
129,28,Romance,109,1,69
130,54,Kids,14,1,95
131,28,Comedy,97,4,78
132,30,Drama,120,6,41
133,36,Horror,43,1,87
134,22,Drama,76,3,96
135,35,Romance,114,2,64
136,19,Comedy,77,4,90
137,37,Drama,87,5,90
138,41,Romance,77,3,87
139,44,Action,36,5,95
140,48,Romance,67,5,71
141,51,Comedy,70,3,50
142,39,Action,16,6,85
143,56,Romance,71,5,73
144,48,Romance,86,3,64
145,54,Kids,96,6,94
146,26,Romance,38,1,79
147,33,Action,95,7,74
148,33,Romance,119,3,92
149,27,Drama,100,6,41
150,41,Kids,24,3,46
151,39,Action,17,1,49
152,53,Romance,55,5,67
153,34,Horror,36,6,81
154,53,Documentary,27,1,65
155,18,Kids,96,2,63
156,57,Horror,30,7,66
157,42,Sci-Fi,82,5,71
158,33,Kids,37,4,79
159,45,Drama,23,7,50
160,55,Comedy,86,4,53
161,39,Action,60,4,71
162,19,Drama,105,3,63
163,27,Horror,18,1,84
164,41,Romance,60,2,50
165,25,Action,96,1,50
166,52,Documentary,89,2,78
167,32,Comedy,47,4,64
168,52,Horror,18,1,66
169,50,Action,43,3,68
170,39,Horror,119,7,88
171,56,Documentary,18,7,71
172,30,Sci-Fi,54,3,100
173,23,Drama,103,1,58
174,50,Kids,62,7,77
175,19,Romance,102,3,77
176,59,Action,107,3,91
177,26,Documentary,50,6,82
178,55,Comedy,65,5,48
179,25,Comedy,93,3,74
180,39,Comedy,102,7,90
181,48,Drama,101,6,85
182,59,Drama,107,6,89
183,53,Documentary,53,2,70
184,21,Action,76,5,51
185,22,Kids,75,6,47
186,35,Horror,85,4,56
187,50,Documentary,31,2,47
188,28,Drama,36,5,77
189,32,Comedy,29,4,43
190,20,Romance,91,2,94
191,19,Horror,80,7,50
192,60,Romance,108,3,89
193,29,Action,34,4,77
194,48,Drama,9,6,44
195,22,Action,67,5,81
196,52,Documentary,58,3,93
197,23,Kids,97,6,85
198,19,Horror,25,7,50
199,28,Drama,42,7,69
200,35,Romance,111,4,78
